counter,filename,title,tag,value,page
3,gresb-asset-level-upload.html,GRESB Asset-level upload,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/vD1taRmioXoLJLpjrb2OihoFqTxWY1IlpU5JpT0t.png,
4,gresb-asset-level-upload.html,GRESB Asset-level upload,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/WhwRZFnN8wQgRuiz3JmQwc5PWA9gDqcbf58yqzrI.png,
5,gresb-asset-level-upload.html,GRESB Asset-level upload,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/xikoAlTzDjP0NXU0yOa1Us0X9eNSsp8od7iup7cI.png,
6,gresb-asset-level-upload.html,GRESB Asset-level upload,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/Ta2Yu4SMox9ESeTksqfxtDMhiPonDQ9CbAiiBKbO.png,
7,gresb-asset-level-upload.html,GRESB Asset-level upload,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/fueNvlnFEe2pBu3xeaZCFkJlemaKt8L14AkI8JPT.png,
8,gresb-asset-level-upload.html,GRESB Asset-level upload,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/2b3MwQXj2vUmi0y3kmX5Fs7r9iazXg5Mp5nzugQ9.png,
9,gresb-asset-level-upload.html,GRESB Asset-level upload,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/OddTbjRIFJMToqA0rA0oa3wtmdek2mEzR0tFklSo.png,
10,gresb-asset-level-upload.html,GRESB Asset-level upload,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/wT5KPyVvoDa3pJNNm2dWUacHvzzGi3HJgljqZa6p.png,
1,faq-single-sign-on-sso.html,FAQ: Single Sign-On (SSO),image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88721/O7zuwLWPrRkQQG6HJBtUtvxJWq2cdlD38Ft18Roh.png,
1,sales-strategy-gtm-planning-document.html,Sales Strategy & GTM Planning Document,anchor,https://app.tettra.co/teams/measurabl/pages/planning-for-the-growth-of-the-sales-team,planning-for-the-growth-of-the-sales-team
2,sales-strategy-gtm-planning-document.html,Sales Strategy & GTM Planning Document,anchor,https://app.tettra.co/teams/measurabl/pages/planning-for-the-growth-of-the-customer-success-team,planning-for-the-growth-of-the-customer-success-team
1,info-gathering-when-user-is-unhappy-with-usync.html,Info-gathering when user is unhappy with Usync,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88793/Screen%20Shot%202018-12-03%20at%202.17.39%20PM-1543868400.png,
2,info-gathering-when-user-is-unhappy-with-usync.html,Info-gathering when user is unhappy with Usync,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88793/Screen%20Shot%202018-12-03%20at%202.12.42%20PM-1543868045.png,
3,info-gathering-when-user-is-unhappy-with-usync.html,Info-gathering when user is unhappy with Usync,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88793/Screen%20Shot%202018-12-03%20at%202.41.04%20PM-1543869782.png,
4,info-gathering-when-user-is-unhappy-with-usync.html,Info-gathering when user is unhappy with Usync,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88793/Screen%20Shot%202018-12-03%20at%202.57.19%20PM-1543870763.png,
1,filing-bug-tickets.html,Filing Bug Tickets,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88736/RTXrv8Pk29OYiakOflc5klov2PU2n2ZmkJrYeW7v.png,
1,planning-for-the-growth-of-the-customer-success-team.html,Planning for the growth of the Customer Success Team,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88712/fMxiYlmPVXxaqqdOkOMgEDcT8Znivc1Th23P8Bcp.png,
1,instructions-quick-links.html,Instructions & Quick Links,anchor,https://app.tettra.co/teams/measurabl/pages/briannas-weekly-updates,briannas-weekly-updates
2,instructions-quick-links.html,Instructions & Quick Links,anchor,https://app.tettra.co/teams/measurabl/pages/melissas-weekly-updates,melissas-weekly-updates
3,instructions-quick-links.html,Instructions & Quick Links,anchor,https://app.tettra.co/teams/measurabl/pages/aarons-weekly-updates,aarons-weekly-updates
4,instructions-quick-links.html,Instructions & Quick Links,anchor,https://app.tettra.co/teams/measurabl/pages/arielles-weekly-updates,arielles-weekly-updates
5,instructions-quick-links.html,Instructions & Quick Links,anchor,https://app.tettra.co/teams/measurabl/pages/camerons-weekly-updates,camerons-weekly-updates
1,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/ajYE1PeATA3CTq1ujYYtMyFpoD4qn0WBl8w1vKB1.png,
2,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/gwZF3qnavVisT3uiSMf4a4RqR06b6TiTLyXsnZrH.png,
3,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/WgmwYjZiWbie2HMepB6qNtqpknHoZHlMVKMAv9Ax.png,
4,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/UDcUkCtn63Dgr2kzV8CET5XyF15DWMxq1sS1ZJXb.png,
5,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/cULPX9WAY4wlY5PLoS2699mSPIvQsbQNVVTzwBtI.png,
6,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/xT01ZttzWE6oIQhHVGWtBuXXvJBL3Q9DI5BGHM7b.png,
7,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/tBdznc6koFa32hxQZKfo1fmHrbjYJYW4FTQu64Af.png,
8,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/clG8lYuQeV8v7ihf4aLe9IxGtbabwlRi4Iy5yHQX.png,
9,yardi-anomalous-data-review.html,Yardi Anomalous Data Review,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/wx0u1wsduj4o4wEhWltHGc2N0IedObJW3LscmplL.png,
1,zoom-training-set-up-registration-recording.html,"Zoom: Training Set-Up, Registration, Recording",image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/Screen%20Shot%202019-01-14%20at%209.32.37%20AM-1547476395.png,
2,zoom-training-set-up-registration-recording.html,"Zoom: Training Set-Up, Registration, Recording",image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/95047/Screen%20Shot%202019-01-15%20at%202.01.15%20PM-1547589718.png,
3,zoom-training-set-up-registration-recording.html,"Zoom: Training Set-Up, Registration, Recording",image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/95047/Screen%20Shot%202019-01-15%20at%202.04.43%20PM-1547589966.png,
4,zoom-training-set-up-registration-recording.html,"Zoom: Training Set-Up, Registration, Recording",image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/95047/Screen%20Shot%202019-01-15%20at%202.02.43%20PM-1547589806.png,
5,zoom-training-set-up-registration-recording.html,"Zoom: Training Set-Up, Registration, Recording",image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/Screen%20Shot%202019-01-14%20at%209.38.05%20AM-1547476705.png,
6,zoom-training-set-up-registration-recording.html,"Zoom: Training Set-Up, Registration, Recording",image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/95047/Screen%20Shot%202019-01-15%20at%202.08.47%20PM-1547590180.png,
1,knowledgebase-article-template-and-guidance.html,Knowledgebase Article Template and Guidance,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/97793/DwZC5seb8vmKFSP7dEHstCFAP9MaURbJl83k1dt8.png,
1,historical-data-project.html,Historical Data Project,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/BYdw1VfLOougd6eClccYtF3ZSmhidDV46xwjRRlC.jpeg,
1,baseline-account-set-up-for-usync-newbie.html,Baseline Account Set-up for Usync Newbie,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/BU1nqqVUKVYJrDst1ENk5dwMCkmV7T9QT5sJYHvu.png,
2,baseline-account-set-up-for-usync-newbie.html,Baseline Account Set-up for Usync Newbie,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/Xyc6NjTJfUFu0xChM4upBn8DNvNGYH12ajxVN50e.png,
3,baseline-account-set-up-for-usync-newbie.html,Baseline Account Set-up for Usync Newbie,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/95047/wh5HjRoqtDRNpc8YgarvfVGLimEQodfVHYOKWZhW.png,
1,3rd-party-assurance-verification.html,3rd Party Assurance & Verification,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88739/ydBlH4Ryw5XBWMe5WALGVbMEn1QqJpTPURwMAa21.png,
1,cdp-mapping-msr-to-cdp-portal.html,CDP Mapping - MSR to CDP Portal,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88720/OrG6PRt6V4iLk2Ng0B2YOF79PcJ80pQxFB8DKqqA.png,
1,how-to-find-the-leads-in-hubspot.html,How to find the leads in Hubspot,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88712/gI7YQ5W9Za9bCpEJknz7LqmQMZGDk89PYkRBLBdx.png,
2,how-to-find-the-leads-in-hubspot.html,How to find the leads in Hubspot,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88712/BZB7PyATTkopR1UXD6jxgwMV0w8poqF5I4WBhFw9.png,
3,how-to-find-the-leads-in-hubspot.html,How to find the leads in Hubspot,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88712/jAn6ccE2wBgZ4GGiDUOWEAsOW9yGQvjvZMcT48Xg.png,
4,how-to-find-the-leads-in-hubspot.html,How to find the leads in Hubspot,anchor,https://app.tettra.co/teams/measurabl/pages/hubspot-crm,hubspot-crm
1,sales-marketing-tools.html,Sales & Marketing Tools,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88712/hLJaRWtnmmwRPEshHBzPJ27qpWBIMtGNZZSFSPCl.png,
1,categorizing-grouping-zendesk-tickets.html,Categorizing & Grouping Zendesk Tickets,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88720/UksBxhRR1eJraNzzRrpP70PEQ2E8izG8qoDbxJoG.png,
2,categorizing-grouping-zendesk-tickets.html,Categorizing & Grouping Zendesk Tickets,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88720/6coTxGRthFJubanyKyQGM1KFLt6t0yVXpYJBKVSX.png,
3,categorizing-grouping-zendesk-tickets.html,Categorizing & Grouping Zendesk Tickets,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88720/cUONAszDZvdIJz85Wevs99bLRnohFmq5ZySV9hHZ.png,
1,hubspot-testing-api.html,Hubspot - Testing API,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89898/dq3aAoUWwx2iBNnuic7F52gMJbbLz3sDckhTEUqz.png,
1,2018-gresb-score-debriefs.html,2018 GRESB Score Debriefs,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88724/EtDTshD9eVEwQbJ09OBygH6AOJZbP7CqsfZzS6LD.png,
2,2018-gresb-score-debriefs.html,2018 GRESB Score Debriefs,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88724/1yd03wqQNUIDc3aXMRS96BT6YjCCrVsCugmgu6Ko.png,
1,google-tag-manager.html,Google Tag Manager,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/88732/7JG6mORpB7N5jH2hKJZ15KqralWxYDou5pjYGPtc.png,
1,event-strategy.html,Event Strategy,anchor,https://app.tettra.co/teams/measurabl/pages/event-planning-lifecycle,event-planning-lifecycle
1,baseline-account-set-up-for-manual.html,Baseline Account Set-up for Manual,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/T6S6nH3v4UUCcNWABjoZfUy3votg9LoTKItLVP2h.png,
2,baseline-account-set-up-for-manual.html,Baseline Account Set-up for Manual,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/qBh2PGCRyFj9VCtGNGWt7MHJwUHEBX51tXcJOeIw.png,
3,baseline-account-set-up-for-manual.html,Baseline Account Set-up for Manual,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/SFUDUphVydmTrJCTV7z5piV9FaTVLIUFtd4Yh3XH.png,
4,baseline-account-set-up-for-manual.html,Baseline Account Set-up for Manual,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89908/oWHDyUT2oEHHMn9pqC8gQMEPTQ6SFQKMqVD7rZ6X.png,
5,baseline-account-set-up-for-manual.html,Baseline Account Set-up for Manual,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89391/JO077RXkkc7vetmCNNCKvFy2pufTKzNawlI2TfnO.png,
6,baseline-account-set-up-for-manual.html,Baseline Account Set-up for Manual,image,https://tettra-production.s3.us-west-2.amazonaws.com/teams/37251/users/89391/JO077RXkkc7vetmCNNCKvFy2pufTKzNawlI2TfnO.png,
